year,region_std,cost_res_attr,cost_dc_attr,ru_raw,dc_raw,cost_total_attr,paid_residents_raw,paid_dc_raw,unassigned_raw
2020,LRZ1,0.0,57045772.0,0.3614,0.6059,57045772.0,20616342.0008,34564033.2548,1865396.744400002
2020,LRZ2_7,17365942.02767617,124469259.97232382,0.3364747557252231,0.4057279585729979,141835202.0,47723964.946187675,57546506.96124879,36564730.09256354
2020,LRZ3_5,5103507.140052584,349715841.25994736,0.31345,0.50531,354819348.3999999,111218124.75597997,179293764.94000396,64307458.70401597
2020,LRZ4,663148550.0,0.0,0.0,0.0,663148550.0,0.0,0.0,663148550.0
2020,LRZ6,0.0,163148000.0,0.394935,0.433345,163148000.0,64432855.379999995,70699370.06,28015774.560000002
2020,LRZ8_9_10,188313551.2632103,6017449.7367896885,0.347178150955478,0.18086420245474025,194331001.0,67467477.60050714,35147521.50809633,91716001.89139652
2021,LRZ1,0.0,135194071.5,0.3614,0.6059,135194071.5,48859137.4401,81914087.92185,4420846.138050005
2021,LRZ2_7,0.0,221643136.0,0.3191700711737523,0.41393236655301835,221643136.0,70741855.49229366,91745267.8147125,59156012.69299385
2021,LRZ3_5,39989474.55597084,231699696.44402918,0.3149529222257344,0.5088891965099285,271689171.0,85569298.34353726,138259683.93063855,47860188.72582418
2021,LRZ4,206737750.0,0.0,0.0,0.0,206737750.0,0.0,0.0,206737750.0
2021,LRZ6,36389429.9120639,95109970.08793609,0.42297,0.37226000000000004,131499399.99999999,55620301.217999995,48951966.644,26927132.137999997
2021,LRZ8_9_10,169548932.77293012,70388662.22706987,0.412509780882573,0.22342400273122762,239937595.0,98976604.73894155,53607817.880604185,87353172.38045427
2022,LRZ1,0.0,148222612.01,0.3978,0.5739,148222612.01,58962955.057578,85064957.032539,4194699.919883013
2022,LRZ2_7,12444657.853953416,186499792.14604658,0.3344722124079664,0.3994571751114836,198944450.0,66541390.33778605,79469788.0011078,52933271.66110617
2022,LRZ3_5,3511251.7288467023,80507501.27115329,0.30822530776353524,0.520466322678848,84018752.99999999,25896706.001333445,43728931.409972414,14393115.588694125
2022,LRZ4,133118000.0,0.0,0.0,0.0,133118000.0,0.0,0.0,133118000.0
2022,LRZ6,50281958.777742,406357219.22225803,0.42297,0.37226000000000004,456639178.0,193144673.11866,169988500.40228,93506004.47906
2022,LRZ8_9_10,116401990.96048391,153449763.0395161,0.41917255563625905,0.2140259713552052,269851754.0,113114449.3671071,57755283.77175588,98982020.86113703
2023,LRZ1,17214283.297535975,109769331.03246403,0.399,0.5731,126983614.33,50666462.11767,72774309.37252301,3542842.839806989
2023,LRZ2_7,86971855.17368498,225058249.82631502,0.3267790720294091,0.40953447021843953,312030105.0,101964908.15713908,127787083.74337906,82278113.09948188
2023,LRZ3_5,0.0,422987924.5,0.28504922334344934,0.5392405473346956,422987924.5,120572379.36238259,228092239.9233469,74323305.21427047
2023,LRZ4,638614869.0,0.0,0.0,0.0,638614869.0,0.0,0.0,638614869.0
2023,LRZ6,80937304.0717939,335218998.9282061,0.42297,0.37226000000000004,416156303.0,176021631.47991002,154918345.35478002,85216326.16530997
2023,LRZ8_9_10,418303212.825394,1803767477.174606,0.4631889997700782,0.29166166865950777,2222070690.0,1029238700.3195075,648092845.3247838,544739144.3557086
2024,LRZ1,34864854.98400653,140927778.01599348,0.3956,0.5747,175792633.0,69543565.6148,101028026.1851,5221041.200100005
2024,LRZ2_7,282032421.1190055,295923578.88099456,0.3287374868956828,0.40603328279107465,577956000.0,189995802.97628123,234669371.98879835,153290825.03492045
2024,LRZ3_5,43060237.837750636,233512502.16224936,0.3021723955404954,0.5246716971627258,276572740.0,83572647.3869986,145109888.8847453,47890203.72825611
2024,LRZ4,220100000.0,0.0,0.0,0.0,220100000.0,0.0,0.0,220100000.0
2024,LRZ6,270405561.0189884,190331518.98101157,0.42297,0.37226000000000004,460737079.99999994,194877962.72759998,171513985.4008,94345131.87159997
2024,LRZ8_9_10,175978569.21728215,362460671.7827179,0.43199076450873386,0.2657451395063322,538439241.0,232600779.3610924,143087611.21522865,162750850.423679
2025,LRZ1,100190332.72979453,289502087.9368721,0.4041,0.5711,389692420.6666666,157474707.1914,222553341.44273332,9664372.032533288
2025,LRZ2_7,543015781.1655922,473368218.8344078,0.3170179555655913,0.41506119948378917,1016384000.0,322211977.74957794,421861562.17613155,272310460.0742905
2025,LRZ3_5,312214331.45304775,924967425.713619,0.2972777678784896,0.5324179123577097,1237181757.1666667,367786631.2304942,658697728.3577197,210697397.57845283
2025,LRZ4,262212831.16666663,0.0,0.0,0.0,262212831.16666663,0.0,0.0,262212831.16666663
2025,LRZ6,623156904.0061834,407785593.99381673,0.43057,0.36406000000000005,1030942498.0000001,443892911.3638601,375324925.8218801,211724660.8142599
2025,LRZ8_9_10,813441038.2543609,1464116844.7456388,0.47037132453212305,0.2683725031132136,2277557883.0,1071297918.1252881,611233910.0459417,595026054.8287702
