year,source,target,value
2020,2020,Due to DC growth,700396322.9690609
2020,2020,Due to Residential growth,873931550.4309391
2021,2021,Due to DC growth,754035536.2590351
2021,2021,Due to Residential growth,452665587.2409649
2022,2022,Due to DC growth,975036887.6889739
2022,2022,Due to Residential growth,315757859.321026
2023,2023,Due to DC growth,2896801981.4615912
2023,2023,Due to Residential growth,1242041524.368409
2024,2024,Due to DC growth,1223156049.8229668
2024,2024,Due to Residential growth,1026441644.1770332
2025,2025,Due to DC growth,3559740171.2243547
2025,2025,Due to Residential growth,2654231218.7756453
